title,author/0,translator/0,o_title,o_language/0,wikidata,notes,links,volume,nybc_id,date,downloads,item_size,place/0,publisher/0,year,author/1,author/2,author/3,place/1,author/4,author/5,translator/1,o_language/1,place/2,publisher/1,o_language/2,translator/2,translator/3,translator/4
אדער די געשיכטע פון דער תורה שבעל פה,"Weiss, Isaac Hirsch, 1815-1905","Schwartz, Israel Jacob",דור דור ודורשיו,Hebrew,,,,1,nybc207390,1922-01-01T00:00:00Z,225,79441423,New York,Farlag Yidish,1922,,,,,,,,,,,,,,
Yidn in mitlalter,"Abrahams, Israel, 1858-1925","Cahan, Alexander Z",Jewish Life in the Middle Ages,English,Q42191683,,,,nybc205445,1923-01-01T00:00:00Z,219,29767423,Warsaw,Tsentral,1923,,,,,,,,,,,,,,
vegn derlernen Lenin's verk,"Adoratsky, Vladimir",M. H.,Об изучении произведений Ленина,Russian,,,,,nybc210986,1932-01-01T00:00:00Z,120,14938140,Minsk,Melukhe-farlag fun vaysrusland Yidsekter,1932,,,,,,,,,,,,,,
Der geshmiedter Prometheus tragedye,Aeschylus,"Bergman, Leopold",Προμηθεὺς Δεσμώτης,Greek,Q846870,,,,nybc205674,1912-01-01T00:00:00Z,130,9013582,New York,M. Yankovitts un Zshukovski,1912,,,,,,,,,,,,,,
Mayselekh fun Ezop [Aesop's Fables],Aesop,"Bostomski, Sh.",Aesop’s Fables,Greek,Q865902,,,,nybc212262,1926-01-01T00:00:00Z,297,26092812,Vilne,Naye Yidishe folksshul,1926,,,,,,,,,,,,,,
Yunger geograf,"Agapov, S",",Novogrudskiĭ, David Moiseevich, 1898-1953",unknown,Russian,,,,,nybc211048,1927-01-01T00:00:00Z,154,91768815,Moscow,Tsentraler farlag far di felker fun F.S.S.R.,1927,"Kameneskiĭ, vasiliĭ, 1884-1961","Kaczenko, B","Sokolov, S",,,,,,,,,,,
A glezl tey,"Agnivt︠s︡ev, N. I︠A︡.","Rozenblum, L",Чашка чая,Russian,,,,,nybc213180,1936-01-01T00:00:00Z,200,1910915,Warsaw,Kinderfraynd,1936,,,,,,,,,,,,,,
Tsvishn alt un nay oysderveylte dertseylungen,"Agnon, Shmuel Yosef","Gurt, Chaim",unknown,Hebrew,,,,,nybc205156,1978-01-01T00:00:00Z,504,50076343,Tel-Aviv,Yisroel-bukh,1978,,,,,,,,,,,,,,
Ikh vil lebn,"Agol, Izrail","Abshtuk, A",Хочу жить,Russian,,,,,nybc204956,1936-01-01T00:00:00Z,132,69390757,Kharkiv,Melukhe-farlag far di Natsionale minderhaytn in U.S.S.R.,1936,,,,Kyiv,,,,,,,,,,
Di yesoydes fun Marksizm,"Agol, Izrail","Shprakh, Froyim","Основы марксизма: (""Анти-Дюринг"" Ф. Энгельса)",Russian,,,,,nybc202058,1924-01-01T00:00:00Z,159,58371461,Kyiv,Sorabkop,1924,,,,,,,,,,,,,,
Geklibene Shriften,Ahad Ha’am,"Zetser, Sh. Ts.",unknown,Hebrew,,,,,geklibeneshrifte00ahad,1918-01-01T00:00:00Z,235,286929681,,"ferlag ""Literatur"", 678",1918,,,,,,,,,,,,,,
Yosif visarianovitsh Stalin kurtse biografye,"Aleksandrov, Georgy",unknown,Иосиф Виссарионович Сталин. Краткая биография. ,Russian,,,,,nybc203600,1947-01-01T00:00:00Z,222,69417108,Moscow,Der emes,1947,М. Р. Галактионов,B. C. Кружков,М. Б. Митин,,В. Д. Мочалов,П. Н. Поспелов,,,,,,,,
Dos tsiel fun der Rusisher revolutsye,"Engelgardt, Mikhail",unknown,Цель русской революции,Russian,,,,,nybc214897,1906-01-01T00:00:00Z,288,63733833,Saint-Peterburg,Der Avangard,1906,,,,,,,,,,,,,,
Briv fun der letster Rusisher kayzerin,Alexandra Feodorovna,"Fayn, Sh.",Letters of the Empress Alexandra Feodorovna to the Emperor Nicholas the 2nd,English,,"Potentially translated from the Russian edition, 1922, translated by Nabokov the Elder",,,nybc212750,1923-01-01T00:00:00Z,127,320689570,Warsaw,A. Gitlin,1923,,,,,,,,,,,,,,
